annee,ville,temps
1981,NANTES,196.0
1981,NICE,551.0
1981,RENNES,175.0
1981,ROUEN,68.0
1981,ST ETIENNE,288.0
1981,STRASBOURG,231.0
1981,TOULOUSE,362.0
1982,BORDEAUX,242.0
1982,BREST,339.0
1982,CAEN,112.0
1982,DIJON,130.0
1982,GRENOBLE,253.0
1982,LE HAVRE,110.0
1982,LILLE,119.0
1982,LYON,170.0
1982,MARSEILLE,333.0
1982,MONTPELLIER,334.0
1982,NANCY,152.0
1982,NANTES,197.0
1982,NICE,489.0
1982,RENNES,176.0
1982,ROUEN,68.0
1982,ST ETIENNE,208.0
1982,STRASBOURG,225.0
1982,TOULOUSE,359.0
1983,BORDEAUX,243.0
1983,BREST,339.0
1983,CAEN,113.0
1983,DIJON,130.0
1983,GRENOBLE,252.0
1983,LE HAVRE,110.0
1983,LILLE,119.0
1983,LYON,167.0
1983,MARSEILLE,330.0
1983,MONTPELLIER,328.0
1983,NANCY,155.0
1983,NANTES,197.0
1983,NICE,488.0
1983,RENNES,176.0
1983,ROUEN,68.0
1983,ST ETIENNE,206.0
1983,STRASBOURG,228.0
1983,TOULOUSE,359.0
1984,BORDEAUX,247.0
1984,BREST,340.0
1984,CAEN,113.0
1984,DIJON,96.0
1984,GRENOBLE,210.0
1984,LE HAVRE,114.0
1984,LILLE,120.0
1984,LYON,120.0
1984,MARSEILLE,290.0
1984,MONTPELLIER,287.0
1984,NANCY,154.0
1984,NANTES,183.0
1984,NICE,440.0
1984,RENNES,176.0
1984,ROUEN,68.0
1984,ST ETIENNE,169.0
1984,STRASBOURG,228.0
1984,TOULOUSE,359.0
1985,BORDEAUX,234.0
1985,BREST,339.0
1985,CAEN,112.0
1985,DIJON,96.0
1985,GRENOBLE,190.0
1985,LE HAVRE,115.0
1985,LILLE,120.0
1985,LYON,120.0
1985,MARSEILLE,280.0
1985,MONTPELLIER,275.0
1985,NANCY,154.0
1985,NANTES,173.0
1985,NICE,435.0
1985,RENNES,177.0
1985,ROUEN,69.0
1985,ST ETIENNE,168.0
1985,STRASBOURG,228.0
1985,TOULOUSE,359.0
1986,BORDEAUX,234.0
1986,BREST,337.0
1986,CAEN,112.0
1986,DIJON,96.0
1986,GRENOBLE,190.0
1986,LE HAVRE,114.0
1986,LILLE,119.0
1986,LYON,120.0
1986,MARSEILLE,280.0
1986,MONTPELLIER,275.0
1986,NANCY,156.0
1986,NANTES,173.0
1986,NICE,433.0
1986,RENNES,177.0
1986,ROUEN,69.0
1986,ST ETIENNE,166.0
1986,STRASBOURG,228.0
1986,TOULOUSE,359.0
1987,BORDEAUX,241.0
1987,BREST,333.0
1987,CAEN,112.0
1987,DIJON,96.0
1987,GRENOBLE,190.0
1987,LE HAVRE,114.0
1987,LILLE,119.0
1987,LYON,120.0
1987,MARSEILLE,280.0
1987,MONTPELLIER,280.0
1987,NANCY,156.0
1987,NANTES,175.0
1987,NICE,416.0
1987,RENNES,174.0
1987,ROUEN,70.0
1987,ST ETIENNE,166.0
1987,STRASBOURG,228.0
1987,TOULOUSE,359.0
1988,BORDEAUX,242.0
1988,BREST,333.0
1988,CAEN,112.0
1988,DIJON,96.0
1988,GRENOBLE,190.0
1988,LE HAVRE,115.0
1988,LILLE,119.0
1988,LYON,120.0
1988,MARSEILLE,280.0
1988,MONTPELLIER,280.0
1988,NANCY,156.0
1988,NANTES,175.0
1988,NICE,420.0
1988,RENNES,173.0
1988,ROUEN,69.0
1988,ST ETIENNE,168.0
1988,STRASBOURG,228.0
1988,TOULOUSE,359.0
1989,BORDEAUX,253.0
1989,BREST,242.0
1989,CAEN,124.0
1989,DIJON,96.0
1989,GRENOBLE,190.0
1989,LE HAVRE,119.0
1989,LILLE,121.0
1989,LYON,120.0
1989,MARSEILLE,280.0
1989,MONTPELLIER,280.0
1989,NANCY,156.0
1989,NANTES,119.0
1989,NICE,417.0
1989,RENNES,124.0
1989,ROUEN,67.0
1989,ST ETIENNE,168.0
1989,STRASBOURG,228.0
1989,TOULOUSE,362.0
1990,BORDEAUX,178.0
1990,BREST,239.0
1990,CAEN,125.0
1990,DIJON,96.0
1990,GRENOBLE,192.0
1990,LE HAVRE,117.0
1990,LILLE,124.0
1990,LYON,120.0
1990,MARSEILLE,280.0
1990,MONTPELLIER,280.0
1990,NANCY,154.0
1990,NANTES,119.0
1990,NICE,417.0
1990,RENNES,124.0
1990,ROUEN,66.0
1990,ST ETIENNE,168.0
1990,STRASBOURG,228.0
1990,TOULOUSE,362.0
1991,BORDEAUX,174.0
1991,BREST,238.0
1991,CAEN,125.0
1991,DIJON,96.0
1991,GRENOBLE,196.0
1991,LE HAVRE,119.0
1991,LILLE,129.0
1991,LYON,120.0
1991,MARSEILLE,280.0
1991,MONTPELLIER,279.0
1991,NANCY,156.0
1991,NANTES,118.0
1991,NICE,416.0
1991,RENNES,122.0
1991,ROUEN,67.0
1991,ST ETIENNE,168.0
1991,STRASBOURG,229.0
1991,TOULOUSE,370.0
1992,BORDEAUX,172.0
1992,BREST,239.0
1992,CAEN,126.0
1992,DIJON,96.0
1992,GRENOBLE,175.0
1992,LE HAVRE,120.0
1992,LILLE,129.0
1992,LYON,120.0
1992,MARSEILLE,280.0
1992,MONTPELLIER,279.0
1992,NANCY,160.0
1992,NANTES,119.0
1992,NICE,417.0
1992,RENNES,126.0
1992,ROUEN,66.0
1992,ST ETIENNE,173.0
1992,STRASBOURG,235.0
1992,TOULOUSE,379.0
1993,BORDEAUX,178.0
1993,BREST,236.0
1993,CAEN,126.0
1993,DIJON,96.0
1993,GRENOBLE,176.0
1993,LE HAVRE,121.0
1993,LILLE,60.0
1993,LYON,120.0
1993,MARSEILLE,281.0
1993,MONTPELLIER,279.0
1993,NANCY,163.0
1993,NANTES,120.0
1993,NICE,418.0
1993,RENNES,123.0
1993,ROUEN,72.0
1993,ST ETIENNE,169.0
1993,STRASBOURG,236.0
1993,TOULOUSE,385.0
1994,BORDEAUX,176.0
1994,BREST,236.0
1994,CAEN,127.0
1994,DIJON,96.0
1994,GRENOBLE,176.0
1994,LE HAVRE,114.0
1994,LILLE,60.0
1994,LYON,120.0
1994,MARSEILLE,259.0
1994,MONTPELLIER,249.0
1994,NANCY,158.0
1994,NANTES,120.0
1994,NICE,390.0
1994,RENNES,123.0
1994,ROUEN,70.0
1994,ST ETIENNE,169.0
1994,STRASBOURG,230.0
1994,TOULOUSE,381.0
1995,BORDEAUX,177.0
1995,BREST,236.0
1995,CAEN,128.0
1995,DIJON,99.0
1995,GRENOBLE,178.0
1995,LE HAVRE,115.0
1995,LILLE,59.0
1995,LYON,120.0
1995,MARSEILLE,263.0
1995,MONTPELLIER,249.0
1995,NANCY,156.0
1995,NANTES,122.0
1995,NICE,395.0
1995,RENNES,123.0
1995,ROUEN,72.0
1995,ST ETIENNE,170.0
1995,STRASBOURG,232.0
1995,TOULOUSE,365.0
1996,BORDEAUX,174.0
1996,BREST,235.0
1996,CAEN,104.0
1996,DIJON,100.0
1996,GRENOBLE,177.0
1996,LE HAVRE,112.0
1996,LILLE,58.0
1996,LYON,120.0
1996,MARSEILLE,263.0
1996,MONTPELLIER,250.0
1996,NANCY,158.0
1996,NANTES,121.0
1996,NICE,388.0
1996,RENNES,122.0
1996,ROUEN,69.0
1996,ST ETIENNE,170.0
1996,STRASBOURG,231.0
1996,TOULOUSE,365.0
1997,BORDEAUX,183.0
1997,BREST,241.0
1997,CAEN,104.0
1997,DIJON,97.0
1997,GRENOBLE,179.0
1997,LE HAVRE,112.0
1997,LILLE,58.0
1997,LYON,124.0
1997,MARSEILLE,265.0
1997,MONTPELLIER,254.0
1997,NANCY,157.0
1997,NANTES,121.0
1997,NICE,386.0
1997,RENNES,123.0
1997,ROUEN,69.0
1997,ST ETIENNE,170.0
1997,STRASBOURG,231.0
1997,TOULOUSE,368.0
1998,BORDEAUX,177.0
1998,BREST,240.0
1998,CAEN,105.0
1998,DIJON,100.0
1998,GRENOBLE,179.0
1998,LE HAVRE,111.0
1998,LILLE,58.0
1998,LYON,120.0
1998,MARSEILLE,266.0
1998,MONTPELLIER,257.0
1998,NANCY,158.0
1998,NANTES,123.0
1998,NICE,396.0
1998,RENNES,125.0
1998,ROUEN,68.0
1998,ST ETIENNE,166.0
1998,STRASBOURG,232.0
1998,TOULOUSE,384.0
1999,BORDEAUX,176.0
1999,BREST,254.0
1999,CAEN,104.0
1999,DIJON,99.0
1999,GRENOBLE,184.0
1999,LE HAVRE,114.0
1999,LILLE,58.0
1999,LYON,124.0
